,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
255,Amiens,49.8941708,2.2956951,1720861200,broken clouds,16.32,72,2.48,0.0,63,3
256,Amiens,49.8941708,2.2956951,1720872000,light rain,18.14,65,2.78,0.95,71,3
257,Amiens,49.8941708,2.2956951,1720882800,light rain,18.92,60,2.8,0.8,74,3
258,Amiens,49.8941708,2.2956951,1720893600,broken clouds,17.35,71,2.89,0.0,84,3
259,Amiens,49.8941708,2.2956951,1720904400,scattered clouds,11.79,85,1.93,0.0,43,3
260,Amiens,49.8941708,2.2956951,1720915200,few clouds,10.03,86,0.95,0.0,22,3
261,Amiens,49.8941708,2.2956951,1720926000,clear sky,9.3,85,0.4,0.0,0,3
262,Amiens,49.8941708,2.2956951,1720936800,clear sky,12.54,77,0.24,0.0,10,3
263,Amiens,49.8941708,2.2956951,1720947600,few clouds,18.26,68,0.74,0.0,24,3
264,Amiens,49.8941708,2.2956951,1720958400,broken clouds,19.22,67,1.39,0.0,62,3
265,Amiens,49.8941708,2.2956951,1720969200,light rain,19.67,69,1.22,0.17,100,3
266,Amiens,49.8941708,2.2956951,1720980000,broken clouds,19.94,70,1.29,0.0,81,3
267,Amiens,49.8941708,2.2956951,1720990800,clear sky,14.45,87,1.63,0.0,2,3
268,Amiens,49.8941708,2.2956951,1721001600,clear sky,13.22,89,1.22,0.0,1,3
269,Amiens,49.8941708,2.2956951,1721012400,broken clouds,12.45,90,1.48,0.0,51,3
270,Amiens,49.8941708,2.2956951,1721023200,broken clouds,14.78,88,2.44,0.0,75,3
271,Amiens,49.8941708,2.2956951,1721034000,overcast clouds,19.9,71,2.76,0.0,100,3
272,Amiens,49.8941708,2.2956951,1721044800,overcast clouds,21.97,63,2.8,0.0,100,3
273,Amiens,49.8941708,2.2956951,1721055600,light rain,18.5,90,2.62,0.12,100,3
274,Amiens,49.8941708,2.2956951,1721066400,light rain,16.17,97,5.81,1.4,100,3
275,Amiens,49.8941708,2.2956951,1721077200,light rain,14.65,97,3.8,1.04,98,3
276,Amiens,49.8941708,2.2956951,1721088000,broken clouds,12.84,97,3.15,0.0,73,3
277,Amiens,49.8941708,2.2956951,1721098800,clear sky,12.38,97,3.48,0.0,8,3
